check date,check type,status,message
2024-02-19 22:02:50.679299,filehash,OK,"FILE=/etc/hosts, OLD_HASH=1463508f28edb4d6d5ae349b20e00409, OLD_HASH_DATE= 2024-02-19 21:57:34.658615, CURRENT_HASH=1463508f28edb4d6d5ae349b20e00409"
2024-02-19 22:02:50.686578,filehash,OK,"FILE=/etc/ssh/sshd_config, OLD_HASH=23a8a2b1a8f1538be49eb86313367191, OLD_HASH_DATE= 2024-02-19 21:41:07.139719, CURRENT_HASH=23a8a2b1a8f1538be49eb86313367191"
2024-02-19 22:02:50.692379,filehash,OK,"FILE=/etc/group, OLD_HASH=a32d2ce5c98f6262e11989e2ce141461, OLD_HASH_DATE= 2024-02-19 21:41:07.147193, CURRENT_HASH=a32d2ce5c98f6262e11989e2ce141461"
2024-02-19 22:02:50.699274,filehash,FAIL,"FILE=/etc/passwd, OLD_HASH=d5e01e1a884cf82c56430e3f3e49e50, OLD_HASH_DATE= 2024-02-19 21:41:07.156163, CURRENT_HASH=d5e01e1a884cf82c56430e3f3e49e50b"
2024-02-19 22:02:50.704547,filehash,OK,"FILE=/home/ubuntu/testfile.txt, OLD_HASH=f02f85d33e79aeef0a66c8c59328da2b, OLD_HASH_DATE= 2024-02-19 21:41:07.165146, CURRENT_HASH=f02f85d33e79aeef0a66c8c59328da2b"
2024-02-19 22:02:50.712796,filehash,OK,"FILE=/etc/environment, OLD_HASH=f3377ed52072acbbf4cbb59af03c7fdb, OLD_HASH_DATE= 2024-02-19 21:41:07.170456, CURRENT_HASH=f3377ed52072acbbf4cbb59af03c7fdb"
2024-02-19 22:03:20.724962,filehash,OK,"FILE=/etc/hosts, OLD_HASH=1463508f28edb4d6d5ae349b20e00409, OLD_HASH_DATE= 2024-02-19 22:02:50.679299, CURRENT_HASH=1463508f28edb4d6d5ae349b20e00409"
2024-02-19 22:03:20.732958,filehash,OK,"FILE=/etc/ssh/sshd_config, OLD_HASH=23a8a2b1a8f1538be49eb86313367191, OLD_HASH_DATE= 2024-02-19 22:02:50.686578, CURRENT_HASH=23a8a2b1a8f1538be49eb86313367191"
2024-02-19 22:03:20.739049,filehash,OK,"FILE=/etc/group, OLD_HASH=a32d2ce5c98f6262e11989e2ce141461, OLD_HASH_DATE= 2024-02-19 22:02:50.692379, CURRENT_HASH=a32d2ce5c98f6262e11989e2ce141461"
2024-02-19 22:03:20.744137,filehash,OK,"FILE=/etc/passwd, OLD_HASH=d5e01e1a884cf82c56430e3f3e49e50b, OLD_HASH_DATE= 2024-02-19 22:02:50.699274, CURRENT_HASH=d5e01e1a884cf82c56430e3f3e49e50b"
2024-02-19 22:03:20.749910,filehash,OK,"FILE=/home/ubuntu/testfile.txt, OLD_HASH=f02f85d33e79aeef0a66c8c59328da2b, OLD_HASH_DATE= 2024-02-19 22:02:50.704547, CURRENT_HASH=f02f85d33e79aeef0a66c8c59328da2b"
2024-02-19 22:03:20.756171,filehash,FAIL,"FILE=/etc/environment, OLD_HASH=f3377ed52072acbbf4cbb59af03c7fd, OLD_HASH_DATE= 2024-02-19 22:02:50.712796, CURRENT_HASH=f3377ed52072acbbf4cbb59af03c7fdb"
2024-02-19 22:03:50.774195,filehash,OK,"FILE=/etc/hosts, OLD_HASH=1463508f28edb4d6d5ae349b20e00409, OLD_HASH_DATE= 2024-02-19 22:03:20.724962, CURRENT_HASH=1463508f28edb4d6d5ae349b20e00409"
2024-02-19 22:03:50.780828,filehash,OK,"FILE=/etc/ssh/sshd_config, OLD_HASH=23a8a2b1a8f1538be49eb86313367191, OLD_HASH_DATE= 2024-02-19 22:03:20.732958, CURRENT_HASH=23a8a2b1a8f1538be49eb86313367191"
2024-02-19 22:03:50.786692,filehash,OK,"FILE=/etc/group, OLD_HASH=a32d2ce5c98f6262e11989e2ce141461, OLD_HASH_DATE= 2024-02-19 22:03:20.739049, CURRENT_HASH=a32d2ce5c98f6262e11989e2ce141461"
2024-02-19 22:03:50.793265,filehash,OK,"FILE=/etc/passwd, OLD_HASH=d5e01e1a884cf82c56430e3f3e49e50b, OLD_HASH_DATE= 2024-02-19 22:03:20.744137, CURRENT_HASH=d5e01e1a884cf82c56430e3f3e49e50b"
2024-02-19 22:03:50.800318,filehash,OK,"FILE=/home/ubuntu/testfile.txt, OLD_HASH=f02f85d33e79aeef0a66c8c59328da2b, OLD_HASH_DATE= 2024-02-19 22:03:20.749910, CURRENT_HASH=f02f85d33e79aeef0a66c8c59328da2b"
2024-02-19 22:03:50.805695,filehash,OK,"FILE=/etc/environment, OLD_HASH=f3377ed52072acbbf4cbb59af03c7fdb, OLD_HASH_DATE= 2024-02-19 22:03:20.756171, CURRENT_HASH=f3377ed52072acbbf4cbb59af03c7fdb"
2024-02-19 22:04:20.844497,filehash,OK,"FILE=/etc/hosts, OLD_HASH=1463508f28edb4d6d5ae349b20e00409, OLD_HASH_DATE= 2024-02-19 22:03:50.774195, CURRENT_HASH=1463508f28edb4d6d5ae349b20e00409"
2024-02-19 22:04:20.851333,filehash,OK,"FILE=/etc/ssh/sshd_config, OLD_HASH=23a8a2b1a8f1538be49eb86313367191, OLD_HASH_DATE= 2024-02-19 22:03:50.780828, CURRENT_HASH=23a8a2b1a8f1538be49eb86313367191"
2024-02-19 22:04:20.856513,filehash,OK,"FILE=/etc/group, OLD_HASH=a32d2ce5c98f6262e11989e2ce141461, OLD_HASH_DATE= 2024-02-19 22:03:50.786692, CURRENT_HASH=a32d2ce5c98f6262e11989e2ce141461"
2024-02-19 22:04:20.863532,filehash,OK,"FILE=/etc/passwd, OLD_HASH=d5e01e1a884cf82c56430e3f3e49e50b, OLD_HASH_DATE= 2024-02-19 22:03:50.793265, CURRENT_HASH=d5e01e1a884cf82c56430e3f3e49e50b"
2024-02-19 22:04:20.869357,filehash,OK,"FILE=/home/ubuntu/testfile.txt, OLD_HASH=f02f85d33e79aeef0a66c8c59328da2b, OLD_HASH_DATE= 2024-02-19 22:03:50.800318, CURRENT_HASH=f02f85d33e79aeef0a66c8c59328da2b"
2024-02-19 22:04:20.876430,filehash,OK,"FILE=/etc/environment, OLD_HASH=f3377ed52072acbbf4cbb59af03c7fdb, OLD_HASH_DATE= 2024-02-19 22:03:50.805695, CURRENT_HASH=f3377ed52072acbbf4cbb59af03c7fdb"
